date,台北市,新北市,桃園市,台中市,台南市,高雄市,新竹縣,彰化縣,雲林縣,屏東縣,基隆市,宜蘭縣,新竹市,苗栗縣,嘉義市,嘉義縣,花蓮縣,台東縣,南投縣,澎湖縣,金門縣,連江縣,總計,公費累計接種人次,自費累計接種人次,AstraZeneca,Moderna,第一劑累積接種人次,第二劑累積接種人次
2021-04-15,6033,2813,3280,3734,2157,5216,698,803,256,761,400,632,491,306,534,743,754,165,201,80,48,50,30155,30155,0,,,,
2021-04-16,6459,2961,3512,3885,2347,5765,762,869,297,832,400,661,511,306,585,771,797,187,265,90,77,50,32389,32389,0,,,,
2021-04-17,6459,2961,3512,3903,2347,5777,762,880,297,832,400,661,521,306,585,771,797,187,275,90,77,50,32450,32450,0,,,,
2021-04-19,6790,3018,3640,4006,2381,5916,779,880,335,832,400,692,521,317,636,771,818,187,286,90,77,50,33422,33422,0,,,,
2021-04-20,7021,3066,3791,4057,2429,5996,785,902,363,858,424,710,521,336,678,771,818,187,286,90,77,50,34216,34197,0,,,,
2021-04-21,7606,3489,4106,4400,2491,6242,820,986,401,903,514,718,569,383,711,791,876,187,332,90,96,50,36761,34999,1732,,,,
2021-04-22,8108,3918,4213,4777,2577,6508,915,1091,401,927,607,849,623,394,760,841,912,226,367,90,96,70,39270,35891,3330,,,,
2021-04-23,8724,4204,4699,5158,2654,6953,1073,1195,480,1027,689,920,678,449,842,893,949,236,421,106,116,70,42536,37392,5131,,,,
2021-04-24,8841,4204,4699,5169,2654,6953,1073,1195,480,1027,689,920,678,449,842,893,957,236,421,106,116,70,42672,,,,,,
2021-04-25,8897,4348,4699,5173,2654,6951,1068,1204,480,1024,689,919,678,449,845,893,958,236,421,106,116,70,42878,37416,5256,,,,
2021-04-26,9529,4726,5192,5499,2734,7187,1155,1204,519,1035,741,982,720,478,893,893,967,246,455,116,116,70,45457,38222,7165,,,,
2021-04-27,10242,5154,5734,5823,2837,7354,1196,1290,582,1063,776,998,720,510,942,933,1011,287,472,116,116,70,48226,39263,8917,,,,
2021-04-28,10867,5542,6212,6125,2943,7598,1286,1371,598,1072,811,1004,765,528,1000,966,1037,287,493,116,142,70,50833,40243,10590,,,,
2021-04-29,11470,5956,6823,6485,3112,8009,1412,1497,609,1136,877,1075,828,528,1051,1011,1088,321,532,144,142,88,54194,,,,,,
2021-04-30,12351,6504,7321,6947,3218,8293,1561,1627,674,1223,937,1129,919,571,1140,1011,1164,332,561,144,169,88,57884,43674,14210,,,,
2021-05-02,12482,6504,7469,6985,3218,8318,1569,1635,697,1222,937,1129,917,571,1140,1011,1172,331,561,144,169,90,58271,,,,,,
2021-05-03,13447,7127,7957,7508,3466,9038,1676,1706,736,1242,1013,1195,985,586,1222,1060,1284,337,613,159,169,90,62616,46400,16037,,,,
2021-05-04,14581,7732,8858,8135,3706,9624,1752,2032,828,1296,1108,1223,1022,682,1323,1125,1376,385,725,159,169,90,67931,49975,17956,,,,
2021-05-05,15884,8739,9971,8917,4000,10159,1914,2276,869,1431,1221,1285,1122,738,1431,1216,1550,400,808,159,220,90,74400,,,,,,
2021-05-06,17135,9551,10920,9729,4366,10835,2087,2546,903,1484,1395,1417,1229,806,1537,1292,1684,467,980,159,220,119,80861,58743,22118,,,,
2021-05-07,18639,10824,12879,10916,4693,11899,2397,2918,1044,1830,1705,1575,1421,969,1751,1462,1828,511,1165,210,247,119,91002,66496,24506,,,,
2021-05-09,18927,11003,13026,11077,4781,12125,2398,3030,1044,1839,1705,1575,1472,980,1753,1462,1868,511,1165,210,263,119,92333,67289,24760,,,,
